g_x: 12, g_y: 2121, g_z: -119, roll: -0.363517021698, pitch: -3.1496136697, yaw: -13.2005204862, addr: dcd5, time[s]: 654.83, roll_offset: -0.238017124856, pitch_offset: -3.26857571481
g_x: 187, g_y: 22707, g_z: -1511, roll: 4.59899475262, pitch: 0.119320309871, yaw: 0.00479145899469, addr: db0e, time[s]: 656.27, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: 77, g_y: -11300, g_z: 475, roll: 2.98741738093, pitch: 0.210207582763, yaw: -0.0085175460498, addr: db4a, time[s]: 657.31, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: -20, g_y: 29173, g_z: -175, roll: 2.9478310986, pitch: 0.181797117426, yaw: 0.00467770824718, addr: dccb, time[s]: 658.32, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 117, g_y: 964, g_z: 2298, roll: -21.3728691489, pitch: 66.4517163974, yaw: -75.5502455417, addr: dcc2, time[s]: 658.32, roll_offset: 17.455344141, pitch_offset: -14.4998512777
g_x: 318, g_y: 2130, g_z: 53, roll: -8.54319378366, pitch: 1.48087935405, yaw: -23.9907286861, addr: fc43, time[s]: 659.23, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 350, g_y: 2054, g_z: -339, roll: -9.91350902363, pitch: -8.7810943951, yaw: 61.1589208473, addr: dcb9, time[s]: 659.43, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 406, g_y: 2226, g_z: -107, roll: -10.6283293014, pitch: -2.85208806814, yaw: 48.4448891224, addr: dcb2, time[s]: 659.61, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: 11, g_y: 2122, g_z: -109, roll: -0.321821251455, pitch: -3.13345792444, yaw: -13.1216241174, addr: dcd5, time[s]: 659.85, roll_offset: -0.238017124856, pitch_offset: -3.26857571481
g_x: 165, g_y: 19090, g_z: -1506, roll: 4.63718831669, pitch: 0.217855847169, yaw: 0.00179107974733, addr: db0e, time[s]: 661.3, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: 76, g_y: -11934, g_z: 480, roll: 3.00341112264, pitch: 0.0276123503957, yaw: 0.0147229880217, addr: db4a, time[s]: 662.37, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: -21, g_y: 20347, g_z: -171, roll: 2.96333840278, pitch: 0.027787674148, yaw: 0.00771558745924, addr: dccb, time[s]: 663.35, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
